,Penn State Extension 
University Extension,Purdue (Indiana) Cooperative Extension 
University Extension,University of Delaware Cooperative Extension Service 
,Univ of Maine extension 
,University of Minnesota Extension 
,Univ of NH 
University Extension,University of Nebraska&ndash;Lincoln Extension 
State Board,Utah State University extension 
State Board,OK State Family & Consumer website 
,"The Florida Commission on the Status of Women - The Florida Commission on the Status of Women is a nonpartisan board, statutorily created in 1991, consisting of 22 appointed members. The Commission is administratively housed in the Office of the Attorney General. "
,SC film industry 
,Pennsylvania Fish and Boat Commission (PFBC) 
,Florida lottery 
,"Florida Courts - The mission of the judicial branch is to protect rights and liberties, uphold and interpret the law, and provide for the peaceful resolution of disputes. "
,Florida Department of Education 
,Florida Governor's Office 
,"Florida Office of Financial Regulation - Key Function: provides regulatory oversight for Florida's financial services providers.  Mission: to protect the citizens of Florida, promote a safe and sound financial marketplace, and contribute to the growth of Florida's economy with smart, efficient and effective regulation of the financial services industry. "
,Florida Office of Insurance Regulation - To promote a stable and competitive insurance market for consumers. 
National Guard,Florida National Guard Counterdrug.  n   Florida Counterdrup Program - Under this authority our office provides oversight of the FLARNG and FLANG Substance Abuse Prevention Programs.      
,Florida Fish and Wildlife Conservation Commission 
,Florida re-districting website.  House Speaker Will Weatherford and Senate President Don Gaetz called a special session from August 7-15 to amend Congressional Districts 5 and 10 consistent with the Final Judgment issued by the circuit court in Romo v. Detzner and to make conforming changes to districts that are a direct result of the changes to Congressional Districts 5 and 10. 
Public Health,"Florida Environmental Public Health Tracking, Florida Department of Health This web portal was supported by Cooperative Agreement Number 5U38EH000941 from the Centers for Disease Control and Prevention. Its contents are solely the responsibility of the authors (FL Tracking Team) and do not necessarily represent the official views of the Centers for Disease Control and Prevention. "
,"The state of Florida's Unclaimed Property, Florida Treasure Hunt. "
,"Florida Water Permiting Portal This portal provides links to information about water resource permitting in Florida, and links to DEP and the water management districts to: n Apply for permits and other authorizations, including: n Environmental Resource Permits * (and authorizations to use state-owned submerged lands, where applicable) Consumptive and Water Use Permits Well Construction Permits Works of the District Permits    "
Department Education,Florida Department of Agriculture and Consumer Services 
National Guard,National Government of the Federated States of Micronesia 
,Georgia National Guard 
State Board,State of Georgia Department of Education 
,Georgia lottery 
,GA Do Not Call List. GA Dept of Law. Consumer Protection Unit.  
State Board,Georgia State Defense Force 
State Board,Georgia State Defense Force public beta domain. Crosslinked with gasdf.us email domain.
State Board,Georgia State Defense Force email domain. Referenced on https://directory.doas.ga.gov/. Not in use as a public website.
Department Education,"GEAR UP Mississippi operates as part of the Institutions of Higher Learning, Office of Academic and Student Affairs in collaboration with the Mississippi Department of Education, State Board for Community and Junior Colleges and community and national partners. Funding is provided by the United States Department of Education. "
National Guard,Lousiana National Guard 
,New Mexico Bureau of Geology & Mineral Resources 
,The Georgia Civil War Commission 
,The Georgia Fiscal Management Council    
,Georgia Trust (Preservation Committee) 
,Governor's Office of Homeland Security and Emergency Preparedness 
,Oregon Student Access Commission 
National Guard,Ga National Fair Grounds and Agricenter 
,Georgia Commission on Dispute Resolution 
Travel Tourism,"Hawaii Tourism Authority, Travel and Tourism Site for Hawaii "
,Pennsylvania Fish and Boat Commission's Outdoor Shop 
Department Education,"Got to Be NC Agriculture, Goodness Grows in NC, North Carolina Department of Agriculture & Consumer Services "
Department Education,"Got To Be NC Festival, a production of the NC Department of Agriculture "
,Consumer Protection Division of the Arkansas Attorney General's Office 
,"Office of the Governor and Lt. Governor, Commonwealth of the Northern Mariana Islands plus *.gov.mp pattern for other government websites "
,"*.gov.pr pattern for several Puerto Rican government agencies, such as https://www.google.com/#q=site:gov.pr  "
,*.gov.vi pattern for Virgin Island government sites 
Department Education,"Virginia Correctional Enterprises, a Department of Corrections work program to produce goods and services for agencies of the Commonwealth of Virginia  "
,"Governor Phil Bryant (Mississippi's 64th governor, 2012-) "
,Governor Morehead School for the Blind 
State Board,"Office of Group Benefits, State of Louisiana "
,Georgia Student Finance Commission 
,Guam Attorney General 
,Guam Legislature 
Department Education,Guam Department of Revenue and Taxation 
,Official site of the Washington Dairy Products Commission 
State Board,Hawaii State Department of Education 
,"Village of Hoffman Estates, IL "
,Minnesota House of Representatives 
,Historical Society of New Mexico 
State Board,Michigan State Humanities and Social Services Online 
Economic Development,High Technology Development Corporation. HTDC 'is a state agency established by the Hawaii State Legislature in 1983 to facilitate the development and growth of Hawaii's commercial high technology industry.' 
,NC health and Wellness Trust fund 
,Iowa Lottery 
University Extension,University of Nebraska - Lincoln Extension publications 
National Guard,Idaho Army National Guard 
,Idaho Lottery 
,IDeal - Idaho College Savings Program 
,"Benefits Portal, http://www.in.gov/fssa/ Indiana Family and Social Services Administration "
State Board,Office of the Illinois State Treasurer 
,Illinois Lottery 
Travel Tourism,Travel and Tourism Site for New York 
Public Health,"Inclusive Health, North Carolina Health Insurance Risk Pool, Inc. "
,Innovate Washington is hereby created as a state agency exercising public and essential governmental functions. Innovate Washington is created as the successor to the Washington technology center and the Spokane intercollegiate research and technology institute (SIRTI). See http://apps.leg.wa.gov/RCW/default.aspx?cite=43.333&full=true  
Economic Development,Guam Economic Development Authority (GEDA) web site. GEDA is an autonomous agency of the Government of Guam and a Guam public corporation. 
,Montana Board of Investments 
Economic Development,Iowa Economic Development Authority 
,"Iowa Tribe of Oklahoma, Perkins, OK "
,Iowa National Guard 
,Iowa State Fair 
Public Health,"The North Carolina Division of Public Health, Injury and Violence Prevention Branch, Youth Suicide Prevention Program works in collaboration with The North Carolina Youth Suicide Prevention Task Force to address youth suicide prevention in North Carolina. "
,new jersey history site 
State Board,Julian F. Keith Alcohol and Drug Abuse Treatment Center. JFK ADATC operates under the authority of the State of North Carolina through the Division of State Operated Healthcare Facilities 
Department Education,Jobs4Jersey. NJ Department of Labor and Workforce Development. 
,"Unified Courts of Guam, Guam Judiciary - www.justice.gov.gu "
,"Justice Administration Commission - The Justice Administrative Commission (JAC), created in 1965, provides administrative services on behalf of 49 judicial related entities. "
,Kentucky Academic Advising Association 
,Kansas Highway Patrol 
,kentucky center 
,Kentucky National Guard 
, kentucky housing corp 
,Kentucky State Police 
Travel Tourism,Travel and Tourism Site for Kentucky 
Department Education,Kentucky Higher Education Assistance Authority 
,Ky legislature 
State Board,Kansas State Board of Healing Arts 
State Board,Kansas State Board of Nursing 
,Kansas Judicial Branch 
,Kansas Department of Transportation 
,Kansas Historical Society 
,Kansas State Legislature 
,Kansas Lottery 
,Kansas Department of Revenue 
State Board,"Office of the Secretary of State, State of Kansas "
,Kentucky Department of Agriculture 
,ky convention center  
Department Education,Kentucky Education Professional Standards Board 
,KY expo center 
,Kentucky Lottery 
,KY Treasury 
Board Examiners,LA Board of Examiners of Nursing Facility Administrators 
State Board,Louisiana Board of Massage Therapy 
,Louisiana Board of Pharmacy 
Board Examiners,Louisiana State Board of Social Work Examiners 
State Board, Louisiana State Board of Chiropractic Examiners 
,The Council of Information Services Directors for Louisiana 
Board Examiners,Louisiana Board of Examiners of Certified Shorthand Reporters 
,Louisiana Developmental Disabilities Council 
Department Education,"Louisiana Egg Commission, Louisiana Department of Agriculture & Forestry  "
State Board,Louisiana Auctioneers Licensing Board 
State Board,Louisiana Professional Engineering and Land Surveying Board 
State Board,Louisiana Physical Therapy Board 
,Louisiana Supreme Court 
State Board,Louisiana State Board of Architectural Examiners 
,Louisiana Workforce Commission (LAWorks) 
Board Examiners,Louisiana Board of Examiners in Dietetics and Nutrition  
,Louisiana board of speech language pathology 
,Legislature of the Virgin Islands 
,League of Kansas Municipalities 
Department Education,"South Carolina Department of Labor, Licensing and Regulation "
,"League of Minnesota Cities Per the 'About the League' section of their website, LMC is 'a membership organization dedicated to promoting excellence in local government.'  "
,LoterÃ­a ElectrÃ³nica de Puerto Rico 
Economic Development,Louisiana Community Development Authority 
,Louisiana Lottery Corporation 
State Board,"Louisiana Seafood Board. In 1984, the State of Louisiana created the Louisiana Seafood Promotion & Marketing Board. For more information see https://www.legis.la.gov/legis/BoardMembers.aspx?boardId=355. "
,Louisiana Tax Free Shopping Commission 
Travel Tourism,Travel and Tourism Site for Louisiana 
State Board,Licensed Professional Counselors Board of Examiners 
,Police Jury Association of Louisiana 
State Board,LLPVRC Board of Examiners 
State Board,Louisiana State Board of Examiners of Psychologists   
State Board,Louisiana State Board of Examiners for Sanitarians 
Board Examiners,Louisiana State Board of Examiners of Interior Designers 
State Board,Louisiana Board of Massage Therapy 
Board Examiners,Louisiana State Board of Private Investigator Examiners 
,LOUISIANA STATE BOARD OF PRACTICAL NURSE EXAMINERS 
State Board,Louisiana Board of Veterinary Medicine 
State Board,Louisiana Board of Drug and Device Distributors 
,LSU Ag Center 
,League of Wisconsin Municipalities 
,maine history 
,maine state housing authority 
State Board,Maine State Lottery - www.mainelottery.com 
,maine turnpike authority 
,Comptroller of Maryland 
,Mass budget & policy Center 
,Ma cultural Council 
,Mass historical society 
State Board,Massachuetts State Lottery 
Travel Tourism,Travel and Tourism Site for Massachusetts 
,"Montana Bureau of Mines and Geology, a nonregulatory state agency "
Department Education,"Maryland 511 Traveller Information, Maryland Department of Transportation "
,maine development foundation 
Department Education,Maryland Department of Housing and Community Development 
State Board,"Maryland Kids Page, Office of the Secretary of State "
,Maryland Lottery 
,Maryland Stadium Authority 
Department Education,"Mississippi Department of Wildlife, Fisheries, and Parks "
,Municipal Employees' Retirement System 
Department Education,"Montana Guaranteed Student Loan Program (MGSLP), a program within the Office of the Commissioner of Higher Education "
Public Health,Alaska Mental Health Trust Authority 
Public Health,Alaska Mental Health Trust Land Office 
Travel Tourism,Travel and Tourism Site for Michigan 
,michigan humanities council 
,Michigan Lottery 
State Board,Michigan State Park and Harbor Reservations  
,Michigan Lottery Connect (Blog) 
,Michigan National Guard 
National Guard,Minnesota National Guard URL must have 'www' to resolve  
,Mississippi Development Authority 
State Board,Campgrounds and Camping at Mississippi State Parks 
,"Missouri Center for the Books, an affiliate of the national Center for the Book in the Library of Congress, which was established by law in 1977 to strengthen and celebrate the vital role of books, reading, and libraries in the cultural life of the nation. "
University Extension,"MissouriFamilies is produced by the College of Human Environmental Sciences, Extension Division, University of Missouri "
,"Minnesota Association of Watershed Districts, Inc. Per the 'What is MAWD?' section of their website, 'the Minnesota Association of Watershed Districts provides educational opportunities, information and training for watershed district managers and staff through yearly tours, meetings and quarterly newsletters.' "
,Missouri National Guard 
,Missouri Lottery 
State Board,The Alabama State Treasury's official website for unclaimed property searches 
Travel Tourism,"Montana Kids, an official state site of the http://visitmt.com/ Montana Office of Tourism. "
,Montana Lottery 
State Board,"Montana State Fund, created by the state legislature in 1990 to create a fair and equitable system of workers' compensation insurance. "
State Board,Mountain State Combined Federal Campaign 
,"Mississippi Industries for the Blind, a state agency of Mississippi "
State Board,Mississippi State Board of Contractors 
,Mississippi Athletic Commission 
State Board,Maryland State Commission on Criminal Sentencing Policy 
,Mississippi Emergency Management Agency 
,Mississippi Home Corporation 
State Board,Mississippi State University Extension 
State Board,Michigan State University Extension 
State Board,Montana State University Extension 
Department Education,"Montana Facility Finance Authority, MT Department of Commerce "
Department Education,"Montana Finance Information Center, MT Department of Commerce "
,Arkansas Scholarship Lottery 
State Board,The official state portal of the State of Florida 
Department Education,Florida Department of Financial Services 
,Florida Office of the Attorney General 
Public Health,Developed by the Florida Attorney General and the Agency for Health Care Administration (AHCA) to help consumers shop for the lowest price in their area for their prescription drugs. 
,Florida Fish and Wildlife Conservation Commission 
Tourism Site,Travel and Tourism Site for the Northern Mariana Islands 
National Guard,"National Archives and Records Management Unit, Government of the Virgin Islands "
,NC Museum of Natural Sciences 
,NC Council on Developmental Disabilities 
,North Carolina Education Lottery 
State Board,NC State Construction Office 
,North Carolina Alcoholic Beverage Control Commission 
Economic Development,NC Agriculture Development & Farmland Preservation Trust Fund 
Department Education,"Multi-Hazard Threat Database, Emergency Programs Division, North Carolina Department of Agriculture and Consumer Services "
,North Carolina Division of Air Quality 
,The North Carolina Auctioneers board 
,NC Court System  
,NC appraisal board 
Public Health,NC Triangle Public Access TV n  n  
,NC Aquariums 
,NC Museum of Art 
,North Carolina Arts Council 
Department Education,"NC Assistive technology Program - Receives grant funding under Public Law 108-364  through the Rehabilitation Services Administration, U.S. Department of Education, and is administered by the N.C. Department of Health and Human Services, Division of Vocational Rehabilitation Services "
State Board,NC Office of the State Auditor 
,North Carolina Board of Architecture 
Board Examiners,NC Board of Athletic Trainers Examiners 
,North Carolina Board of Dietetics/Nutrition   
Board Examiners,NC Board of Examiners of electrical contractors 
Board Examiners,NC Board of Examiners for engineers and surveyors 
State Board,NC Board of Nursing Homes Administrators 
State Board,NC Board of Funeral Services 
State Board,NC Board of Law Examiners 
State Board,The North Carolina Board for the Licensing of Geologists  
State Board,The North Carolina Board of Licensed Professional Counselors 
,The North Carolina Soil Scientist Licensing Program 
Board Examiners,NC Board of Examiners for Speech Language and Pathologist & Audiologist n  
State Board,Welcome to the NC Board of Landscape Architects 
,NC Board of Nursing 
,NC Board of Pharmacy 
State Board,The North Carolina Board of Occupational Therapy 
State Board,The Board of Podiatry Examiners for the State of North Carolina  
,NC Waste Management 
,nc business court 
,NC School bus Safety 
Department Education,"Rail Division, North Carolina Department of Transportation "
State Board,North Carolina Social Work Certification and Licensure Board 
,"The North Carolina Center for Global Logistics is a collaborative effort between community colleges, universities, and industry partners focused on developing a highly trained workforce for the logistics and supply chain industry. "
,NC Child Support Enforcement 
State Board,North Carolina Board of Chiropractic Examiners 
Department Education,"North Carolina Civil War Sesquicentennial, North Carolina Department of Cultural Resources "
,NC Division of Coastal Management 
National Guard,"NC Coastal Reserve and National Estuarine Research Reserve, NC DEQ "
,North Carolina Office of the Commissioner of Banks (NCCOB) 
,North Carolina Department of Commerce 
,nc court system 
Public Health,NC Dept of Public Safety 
Department Education,N.C. Department of Environment and Natural Resources 
State Board,North Carolina State Board of Dental Examiners 
,"This site is a tool for North Carolina citizens and providers to reduce the impact of diabetes through leadership, education, communication and community involvement. "
,"The NC Helping Neighbors Fund is managed by the Governor's Office, in partnership with United Way of North Carolina. Donations are tax deductible; 100% of donated funds will go to the states impacted by Hurricane Sandy. "
Department Education," Juvenile Justice section of the N.C. Department of Public Safety, Division of Adult Correction and Juvenile Justice.  "
,"Division of Marine Fisheries, NC DENR "
,NC Marine Fisheries Commission Store 
Public Health,NC Division of Non Public Education 
,North Carolina Department of Insurance 
,Dept of Justice 
,North Carolina Drought Management Advisory Council 
,NC DENR's Division of Waste Management 
,The North Carolina Office of EMS 
State Board,The North Carolina Forest Service operates a system of six Educational State Forests (ESFs) designed to teach the public - especially school children - about the forest environment. 
,"Facility Management Division, NC DOA "
,"North Carolina Farm Fresh is a directory of pick-your-own farms, roadside farm markets, and farmers markets throughout North Carolina. It is designed to help the consumer, find the freshest locally grown fruits, vegetables, christmas trees, ornamental plants, flowers, and herbs. "
Department Education,"NC Farm to School program, North Carolina Department of Agriculture and Consumer Services "
Public Health,"North Carolina Farmworker Health Program (NCFHP), a statewide Migrant Health Voucher Program within the Office of Rural Health "
,NC Film Office 
,"Firewise North Carolina, North Carolina Forest Service "
,Division of Marine Fisheries  
,NC flood risk information system 
,NC Foreclosure Prevention Fund 
,"North Carolina Forest Action Plan, North Carolina Forest Service "
,North Carolina Forest Action Plan See historical snapshot at: http://web.archive.org/web/20140517174935/http://ncforestassessment.com/  
,NC Fresh Produce Information site 
,State of North Carolina 
Department Education,"Governor's School of North Carolina, NC Department of Public Instruction "
,The North Carolina Global TransPark 
,NC hearing Aid Dealers 
Public Health,NC Health & Human Services 
,NC Healthy School Website 
,NC Housing Finance Agency  
State Board,North Carolina Home Inspetor Licensure Board 
,NC Historic Sites 
,Office of Indigent Defense Services  
,NC International House 
,NC Institute of Medecine 
State Board,The North Carolina Interpreters & Transliterators Licensing Board 
State Board,NCknows is a service that allows North Carolina residents to get help from librarians and use their library resources remotely through a computer. NCknows is a pilot project supported by a grant under the Federally-funded Library Services and Technology Act (LSTA). The project is administered by the State Library of North Carolina in Raleigh with help from a committee of librarians and directors from North Carolina's libraries. 
,NC Dept of Labor 
,NC Generla Assembly  
Board Examiners,"North Carolina State Board of Examiners of Plumbing, Heating and Fire Sprinkler Contractors "
State Board,NC Lifetime Income - Members of the Teachers' and State Employees' Retirement System (TSERS) and Local Governmental Employees' Retirement System (LGERS) will have a one-time opportunity to transfer all or part of their NC 401(k) and/or NC Deferred Compensation (457) funds to the Retirement System in order to receive lifetime income at or after retirement. 
,NC Public Library 
,North Carolina League of Municipalities 
,the board of Marriage and family therapy of North Carolina 
State Board,The North Carolina Locksmith Licensing Board 
State Board,State of North Carolina Office of Information Technology Services 
,North Carolina Maritime Museum System 
Department Education,"North Carolina Highway Historical Marker Program, NC Department of Cultural Resources "
,NC Medical Board 
,NC Division of Medical Assistance 
Public Health,N.C. Office of Minority Health and Health Disparities 
,NC Motor fleet management 
Public Health,The N.C. Health Care Personnel Registry Section   
,Early Hearing Detection and Intervention Program (NC DHHS &gt; DPH &gt; WCH Section &gt; Children and Youth Branch) 
,The North Carolina Natural Heritage Program 
,"Established in 1987, the North Carolina Natural Heritage Trust Fund provided supplemental funding to select state agencies for the acquisition and protection of important natural areas, to preserve the state's ecological diversity and cultural heritage, and to inventory the natural heritage resources of the state. In July 2013, these key purposes were incorporated in the Clean Water Management Trust Fund enabling legislation and the NHTF statute was repealed. See historical snapshot at:  http://web.archive.org/web/20150129185256/http://www.ncnhtf.org/pages/aboutnhtf.htm  "
,North Carolina Office of Administrative Hearings 
,Welcome to the Grand Chapter of NC Order of the Eastern Star 
,NC OneMap is a public service providing comprehensive discovery and access to North Carolina's geospatial data resources. 
,"NC OneMap, a public service providing comprehensive discovery and access to North Carolina's geospatial data resources. "
State Board,he North Carolina State Board of Examiners in Optometry 
Public Health,"NC Physical Activity and Nutrition Branch (NC PAN), NC Department of Public Health See historical snapshot at: http://web.archive.org/web/20130128034822/http://www.ncpanbranch.com/  "
,NC ports  
,NC Progress Portal 
,nc psychology board 
Board Examiners,The North Carolina Board of Physical Therapy Examiners 
Department Education,"Historical Publications, North Carolina Office of Archives and History, Department of Cultural Resources - www.ncpublications.com "
Public Health,North Carolina Division of Public Health 
,nc public schools 
Department Education,"Radiation Protection Section, NC Department of Health and Human Services "
Tourism Site,NC Radon Awarenes Site 
,"We serve the NC insurance industry by providing services and programs for automobile, property and workers compensation insurance. This site contains information for these types of insurance. "
,the North Carolina Respiratory Care   
,North Carolina Rural Electrification Authority 
Board Examiners,NC State Board of Environmental Health Specialist Examiners 
,nc report cards for schools 
,nc science and technology 
,NC School for the deaf 
State Board,NC State Employees Combined Campaign 
Public Health,North Carolina Seniors' Health Insurance Information Program (SHIIP) 
Department Education,"North Carolina Sickle Cell Syndrome Program, NC Department of Public Health "
Department Education,The North Carolina State Improvement Project (NC SIP ). NC SIP is a program in the Exceptional Children Division of the North Carolina Department of Public Instruction (NC DPI). 
,"Thank you for visiting ACCESSNC, your one-stop source for North Carolina economic data and site information. "
,"The Carolina Star Program is designed to recognize and promote effective safety and health management systems. In Star, management, labor and OSH establish a cooperative relationship at a workplace that has implemented a strong program. "
,NC state Fair 
,NC Stormwater and Runoff pollution site 
State Board,NC State Univ Extension  
State Board,North Carolina Social Work Certification and Licensure Board 
,NC Symphony 
Department Education,"Tobacco Free Schools, NC Department of Health and Human Services "
State Board,State of North Carolina Japan Office 
,NC-TOPPS homepage is now http://www.ncdhhs.gov/MHDDSAS/providers/NCTOPPS/index.htm. Entry still included here for nctopps.ncdmh.net pattern for pages such as https://www.google.com/search?q=site%3Anctopps.ncdmh.net. 
State Board,NC Office of State Personnel 
,NC Transportation Museum 
State Board,North Carolina Department of State Treasurer 
State Board,North Carolina Veterinary Medical Board 
,North Carolina's marketplace for discarded or surplus materials and products. 
,NC Division of Water Resources 
,North Carolina Division of Water Resources 
Department Education,"North Carolina Well Contractors Certification Commission - protects the public health and safety by ensuring the integrity and competence of well contractors through examination, certification, continuing education and enforcement. The Well Contractors Certification Unit is now part of the Department of Health and Human Services. "
,nc wildlife resource commission  
